GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test-jacoco,math.operation,ArithmeticOperations,0,20,1,1,0,6,1,3,0,3
test-jacoco,string.operation,MyAssertNotSame,0,27,0,0,0,6,0,2,0,2
