GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app-hello,com.hello.world,Hello,5,36,2,4,1,9,2,4,0,3
app-hello,com.hello.world,HelloApp,14,48,0,2,3,14,0,4,0,3
